Command : [ .\participant.py info -a 5 ]
Total rows: 5
p_id | p_name         | major_work | profession                
---------------------------------------------------------------
53   | Robert Mitchum | 0039689    | actor, producer, writer   
92   | John Cleese    | 0095159    | actor, producer, writer   
100  | Rowan Atkinson | 0274166    | actor, producer, writer   
228  | Kevin Spacey   | 0119488    | actor, producer, writer   
231  | Oliver Stone   | 0091763    | director, producer, writer

Command : [ .\participant.py info -i 92 ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -n john Cleese ]
Total rows: 1
p_id | p_name      | major_work | profession             
---------------------------------------------------------
92   | John Cleese | 0095159    | actor, producer, writer

Command : [ .\participant.py info -pr actor ]
Total rows: 466
p_id     | p_name                          | major_work | profession                                     
---------------------------------------------------------------------------------------------------------
53       | Robert Mitchum                  | 0039689    | actor, producer, writer                        
92       | John Cleese                     | 0095159    | actor, producer, writer                        
100      | Rowan Atkinson                  | 0274166    | actor, producer, writer                        
228      | Kevin Spacey                    | 0119488    | actor, producer, writer                        
282      | Scott Bairstow                  | 0119925    | actor, archive_footage                         
317      | Clancy Brown                    | 0111161    | actor, producer, soundtrack                    
347      | Tim Curry                       | 0073629    | actor, producer, soundtrack                    
348      | Tony Curtis                     | 0053291    | actor, producer, soundtrack                    
410      | Stephen Fry                     | 0280707    | actor, producer, writer                        
434      | Mark Hamill                     | 0076759    | actor, director, producer                      
638      | William Shatner                 | 0098382    | actor, producer, writer                        
722      | Joss Ackland                    | 0099810    | actor, archive_footage, soundtrack             
790      | James Arness                    | 0047736    | actor, miscellaneous, producer                 
1513     | Tim Matheson                    | 0077975    | actor, director, producer                      
1556     | David Morse                     | 0120689    | actor, director, producer                      
1654     | Ronald Reagan                   | 0034946    | actor, miscellaneous, production_manager       
1813     | Dick Van Dyke                   | 0058331    | actor, producer, writer                        
1826     | M. Emmet Walsh                  | 0083658    | actor, producer, stunts                        
1957     | Lloyd Bochner                   | 0102510    | actor, archive_footage                         
2051     | Jimmy Durante                   | 0057193    | actor, music_department, soundtrack            
2079     | Steve Forrest                   | 0082766    | actor, archive_footage, soundtrack             
2083     | Carl Franklin                   | 0102592    | actor, director, producer                      
3162     | Marc Summers                    | 5649144    | actor, producer, writer                        
3944     | Ian James Corlett               | 0214341    | actor, music_department, writer                
4170     | Bob Kane                        | 1877830    | actor, miscellaneous, writer                   
4847     | Walter Cronkite                 | 0337550    | actor, editorial_department, producer          
4988     | Colin Hanks                     | 0360717    | actor, director, producer                      
5189     | Jason Marsden                   | 0105958    | actor, director, producer                      
5471     | Peter Strauss                   | 0084649    | actor, archive_footage, producer               
11882    | Paul Adelstein                  | 0138524    | actor, producer, writer                        
17167    | Tony Alcantar                   | 2802850    | actor, miscellaneous                           
19212    | John Alford                     | 0282744    | actor, archive_footage                         
21596    | Chris M. Allport                | 7780024    | actor, director, writer                        
35602    | Alexander Armstrong             | 1130073    | actor, producer, writer                        
40125    | Dmitriy Astrakhan               | 0101946    | actor, director, producer                      
43389    | Alejandro Awada                 | 5121816    | actor, archive_footage, soundtrack             
45209    | Michael Bacall                  | 0361748    | actor, producer, writer                        
63527    | Brian Beacock                   | 5050342    | actor, producer, writer                        
70355    | Pepe Ruiz                       | 0324727    | actor                                          
80867    | Abner Biberman                  | 0032599    | actor, director, writer                        
89603    | Brady Bluhm                     | 0109686    | actor, miscellaneous                           
89982    | Allan Blye                      | 0061296    | actor, producer, writer                        
91144    | Door van Boeckel                | 0490714    | actor, archive_footage                         
91286    | Earl Boen                       | 0103064    | actor, archive_footage, soundtrack             
98120    | Uke Bosse                       | 2146896    | actor, director, special_effects               
103071   | Richard Bradford                | 0094226    | actor, archive_footage                         
103120   | Ben Bradlee                     | 0106466    | actor, archive_footage                         
103722   | Scott Brady                     | 0087363    | actor, archive_footage, soundtrack             
104561   | Lars Brandeby                   | 0092388    | actor, soundtrack, writer                      
110518   | Daniel Brochu                   | 0118972    | actor, miscellaneous, music_department         
118840   | Zbigniew Buczkowski             | 0162053    | actor, soundtrack                              
120662   | Umberto Buonocuore              | 0370168    | actor                                          
127382   | Luc Caals                       | 0227917    | actor, archive_footage                         
130324   | Charlie Callas                  | 0076538    | actor, archive_footage, soundtrack             
137262   | Adam Carl                       | 0103060    | actor, producer, writer                        
138612   | Roberto Carnaghi                | 0497154    | actor, archive_footage                         
143599   | Johnny Cash                     | 0063919    | actor, music_artist, music_department          
144269   | Alex Cassiers                   | 0238794    | actor, archive_footage                         
147689   | Derek Cecil                     | 1856010    | actor, camera_department, editor               
149942   | Garry Chalk                     | 0138959    | actor, music_department, sound_department      
154811   | Al Checco                       | 0062765    | actor, archive_footage, soundtrack             
159609   | Joe Chrest                      | 4574334    | actor, archive_footage, producer               
162159   | Bronislaw Cieslak               | 0096494    | actor                                          
169212   | Andy Cohen                      | 0476916    | actor, archive_footage, producer               
173268   | Marshall Colt                   | 0089360    | actor                                          
173393   | Fernando Colunga                | 0233092    | actor, archive_footage, stunts                 
175834   | Kevin Conroy                    | 4853102    | actor, producer, soundtrack                    
182456   | Robert Costanzo                 | 0100802    | actor, director, producer                      
185286   | Wayne Cox                       | 1173707    | actor, miscellaneous, producer                 
185954   | Michael Craig                   | 0096592    | actor, archive_footage, writer                 
192271   | Colin Cunningham                | 1462059    | actor, director, writer                        
194143   | Zoran Cvijanovic                | 22054934   | actor, producer, soundtrack                    
195627   | Federico D'Elía                 | 0316613    | actor, producer, writer                        
